Time,/fdm/jsbsim/fcs/right-aileron-pos-norm,/fdm/jsbsim/fcs/elevator-pos-norm,/fdm/jsbsim/fcs/rudder-pos-norm,/fdm/jsbsim/fcs/throttle-pos-norm,/fdm/jsbsim/velocities/u-fps,/fdm/jsbsim/velocities/v-fps,/fdm/jsbsim/velocities/w-fps,/fdm/jsbsim/velocities/vg-fps,/fdm/jsbsim/velocities/vt-fps,/fdm/jsbsim/accelerations/udot-ft_sec2,/fdm/jsbsim/accelerations/vdot-ft_sec2,/fdm/jsbsim/accelerations/wdot-ft_sec2,/fdm/jsbsim/flight-path/gamma-rad,/fdm/jsbsim/flight-path/psi-gt-rad,/fdm/jsbsim/attitude/phi-deg,/fdm/jsbsim/attitude/theta-deg,/fdm/jsbsim/attitude/psi-deg,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/ap/attitude_hold,/fdm/jsbsim/ap/altitude_hold,/fdm/jsbsim/ap/heading_hold,/fdm/jsbsim/ap/velocity_hold,/fdm/jsbsim/ap/heading_setpoint,/fdm/jsbsim/ap/altitude_setpoint,/fdm/jsbsim/ap/velocity_setpoint,/fdm/jsbsim/ap/aileron_cmd,/fdm/jsbsim/ap/elevator_cmd,/fdm/jsbsim/ap/throttle_cmd,/fdm/jsbsim/fcs/heading-error,/fdm/jsbsim/fcs/heading-corrected,/fdm/jsbsim/fcs/altitude-error,/fdm/jsbsim/fcs/velocity-error,/fdm/jsbsim/fcs/hdot-error
0,2.50025693690481015e-16,-0.00264578171426311896,0,0.00698259960759520151,65.616800000000012,3.19744231092045084e-14,5.68434188608080149e-14,65.616800000000012,65.6168000000000262,-3.68554040628340029,-0.0861786763866834171,2.20820537318374477,-8.10782524486058571e-16,5.19933584169110752,4.77083202219527515e-15,2.87227449649325414e-15,297.899999999999977,131.233599998056889,37.4277290431184184,-122.357192800000021,0,1,1,1,-5.19899999999999984,150,95,-2.50025693690481015e-16,-0.00226781289793981638,0.00698259960759520151,-10.3983358416911074,-0.349999999999999978,18.7664000019431114,15,0.0188591134353162902
0.0499998,-0.000773280191518623222,-0.0281929960916405299,0,0.0809281746972099064,65.4247480752282513,-0.0158057222882668214,0.0372034367496656415,65.4246762332796266,65.4247605622187081,-3.71124444749410953,-0.616093058638209734,-0.762906541112542413,-0.00160558126444536884,5.19927734349570425,-0.0007084144347258252,-0.0594119233762349444,297.910489787706922,131.23098224028945,37.4277332401863063,-122.357202782711653,0,1,1,1,-5.19899999999999984,150,95,0.000773280191518623222,-0.0241654252214061685,0.0809281746972099064,-10.3985189230244295,-0.349999999999999978,18.7690177597105503,15,0.344660967466785761
0.0999996,-0.00180584702062765081,-0.053043064046455618,0,0.151099635963090312,65.254946667018018,-0.0548686857711118137,-0.0201741640576393877,65.254548208439175,65.2549728533001598,-3.01244921559778867,-0.995237029866231637,-1.52841555806811868,-0.003607624793797289,5.19925694079926703,-0.00426665777060811387,-0.224411674333731631,297.943657264951412,131.222653578966856,37.4277374251045032,-122.357212737540777,0,1,1,1,-5.19899999999999984,150,95,0.00180584702062765081,-0.0454654834683905287,0.151099635963090312,-10.3990978047069262,-0.349999999999999978,18.777346421033144,15,0.685089487036929179
0.1499994,-0.00357118028136018751,-0.0809484090177583493,0,0.218397456451143779,65.1286604707254355,-0.109462435415601078,-0.0871441970060899962,65.1275050071912176,65.1288107587331524,-1.98046092855598133,-1.21539133221309514,-1.1084756908965403,-0.00633226998100713898,5.19930140441042177,-0.0109169287828667552,-0.439458017756173935,297.99434087740633,131.206650398671627,37.4277416004998926,-122.357222669472563,0,1,1,1,-5.19899999999999984,150,95,0.00357118028136018707,-0.0693843505866500176,0.218397456451143779,-10.3999824006210684,-0.349999999999999978,18.793349601328373,15,1.06204920251298551
0.1999992,-0.00666283627086436316,-0.111194562425589991,0,0.282961785520124465,65.0647200557828711,-0.171704941235788056,-0.120898828773990274,65.062026397655444,65.0650589414244678,-0.497722660435061304,-1.27790878223320004,-0.130140025635370193,-0.00965486731589708554,5.19942705135521166,-0.0234229964240033652,-0.659586245079841982,298.056478685899719,131.180756617337465,37.4277457702667249,-122.357232585998034,0,1,1,1,-5.19899999999999984,150,95,0.00666283627086436316,-0.095309624936219986,0.282961785520124465,-10.4010669099692521,-0.349999999999999978,18.8192433826625347,15,1.46829675902005796
0.249999,-0.0106926647329036693,-0.14217010427401619,0,0.34492593735199234,65.080407187660569,-0.233991778263231254,-0.10265727857404805,65.0752186422807455,65.0809088011287855,1.06704313208036949,-1.19529733692247109,1.03699839433855345,-0.0132237172006740376,5.19963921723783162,-0.043808799320752323,-0.847888346896744971,298.123470783338689,131.143547531217337,37.4277499396739302,-122.357242497618373,0,1,1,1,-5.19899999999999984,150,95,0.0106926647329036693,-0.121860089377728159,0.34492593735199234,-10.4022361426423782,-0.349999999999999978,18.8564524687826633,15,1.88227737958373265
0.2999988,-0.0156868340142025595,-0.171919234610495381,0,0.404416724308000131,65.1700147662523932,-0.289547916803240213,-0.0295826677483201905,65.1616870663539487,65.170664702486448,2.51186964534168311,-0.989271935946737679,2.10947497950925822,-0.0165987318053807398,5.19993144639320093,-0.073499980565825393,-0.976728397954299221,298.18875515247089,131.094882424920797,37.4277541142996597,-122.357252415572134,0,1,1,1,-5.19899999999999984,150,95,0.0156868340142025595,-0.147359343951853183,0.404416724308000131,-10.4033755698338233,-0.349999999999999978,18.9051175750792027,15,2.27665246793285458
0.3499986,-0.0214164174879324341,-0.198560374930448702,0,0.461554774026783687,65.3297850579922539,-0.332805911518995856,0.0905133937923903176,65.3184599265498491,65.3306954514695803,3.84617204738441698,-0.68778449162543065,2.95166461920415557,-0.0193541649657188522,5.20028695918908213,-0.113429724184607963,-1.02896630764561858,298.246267853414508,131.036016702651978,37.4277582993198621,-122.357262350399552,0,1,1,1,-5.19899999999999984,150,95,0.0214164174879324341,-0.170194607083241745,0.461554774026783687,-10.4043793558270039,-0.349999999999999978,18.9639832973480225,15,2.62477598349467245
0.3999984,-0.0273047106592084338,-0.220475703126614409,0,0.516454831057368891,65.5528658724066418,-0.359699202756118552,0.244955109288465422,65.5396745611301696,65.5543103892319721,5.05472314854352156,-0.32457185717720638,3.49917105791391236,-0.0211315377401902933,5.20068012663629631,-0.163262253227430265,-0.9957717321113152,298.290866462820645,130.969478491693735,37.4277624994728342,-122.357272312081591,0,1,1,1,-5.19899999999999984,150,95,0.0273047106592084338,-0.188979174108526632,0.516454831057368891,-10.4051577484029529,-0.349999999999999978,19.0305215083062649,15,2.90378491516285475
0.4499982,-0.0332906405729354316,-0.236417487363875856,0,0.569226043781337232,65.8332315446659067,-0.367933120651354528,0.419166749876485056,65.8201421692687916,65.835594105005768,6.1316260005667651,0.063179289264447408,3.74160758176047992,-0.0216662903875999499,5.20107916737621867,-0.221781392750279582,-0.875366483759824843,298.318754193461871,130.898829769343138,37.4277667189297105,-122.357282309915277,0,1,1,1,-5.19899999999999984,150,95,0.0332906405729354316,-0.20264356059760788,0.569226043781337232,-10.4056444811235504,-0.349999999999999978,19.1011702306568623,15,3.09624915062851525
