Time,/fdm/jsbsim/fcs/right-aileron-pos-norm,/fdm/jsbsim/fcs/rudder-pos-norm,/controls/engines/engine/throttle,/fdm/jsbsim/external_reactions/engine/magnitude,/fdm/jsbsim/velocities/u-fps,/fdm/jsbsim/velocities/v-fps,/fdm/jsbsim/velocities/w-fps,/fdm/jsbsim/velocities/vg-fps,/fdm/jsbsim/velocities/vt-fps,/fdm/jsbsim/attitude/psi-deg,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/fcs/velocity-error,/fdm/jsbsim/ap/aileron_cmd,/fdm/jsbsim/ap/throttle_cmd,/fdm/jsbsim/ap/rudder_cmd,/fdm/jsbsim/fcs/heading-error,/fdm/jsbsim/ap/heading_setpoint,/fdm/jsbsim/ap/velocity_setpoint
0,0,0,0,8.37911952911424152,16.4042000000000492,-2.75335310107038822e-14,8.88178419700125232e-16,16.4042000000000492,16.4042000000000527,297.899999999999977,0,37.4277278786930552,-122.357192800000021,15,0,0.00698259960759520151,0,-10.3983358416911074,-5.19899999999999984,95
0.0499998,0,0,0,97.1138096366518937,16.215329200895809,-0.00185585320957226685,-2.70271726095253673,16.2289503009503768,16.4390262829118399,297.899909848350831,0.0866799280047416687,37.4277289235042474,-122.357195285292349,15,0,0.0809281746972099064,0,-10.3983342682480036,-5.19899999999999984,95
0.0999996,0,0,0,181.31956315570838,16.1309059303059676,-0.00338825156860700361,-3.00160102331407774,16.1654288319620569,16.4077952911349172,297.899674060760162,0.226022250950336456,37.4277299604441254,-122.357197752456628,15,0,0.151099635963090312,0,-10.3983301529782111,-5.19899999999999984,95
0.1499994,0,0,0,262.076947741372521,16.1030540014417447,-0.00450602951996170731,-2.78483964514742777,16.1456505974909206,16.342083720469553,297.899410118669664,0.360132839530706406,37.4277309947317605,-122.357200213842987,15,0,0.218397456451143779,0,-10.3983255463196969,-5.19899999999999984,95
0.1999992,0,0,0,339.554142624149335,16.1067146758744393,-0.00503580474369602626,-2.45890906020237843,16.1490740000523729,16.2933273696843131,297.899065004539807,0.477399170398712158,37.4277320284343133,-122.357202674170708,15,0,0.282961785520124465,0,-10.3983195229418364,-5.19899999999999984,95
0.249999,0,0,0,413.911124822390832,16.1313115284854156,-0.00518979534865060543,-2.1342015978665394,16.1701118959728625,16.2718792714104943,297.898559206244272,0.576760105788707733,37.4277330628816856,-122.357205136434544,15,0,0.34492593735199234,0,-10.3983106950962281,-5.19899999999999984,95
0.2999988,0,0,0,485.300069169600135,16.1724106857756382,-0.00518706099442134416,-1.84340221754137445,16.2068004962940897,16.2771319964737167,297.897868368921991,0.659786369651556015,37.4277340991551597,-122.357207603130774,15,0,0.404416724308000131,0,-10.3982986377103579,-5.19899999999999984,95
0.3499986,0,0,0,553.865728832140462,16.2281132741978276,-0.00513969745844100601,-1.59450666444384392,16.2582309429194325,16.3062607105259332,297.897012468217554,0.72865675762295723,37.4277351382301546,-122.357210076564414,15,0,0.461554774026783687,0,-10.3982836994249954,-5.19899999999999984,95
0.3999984,0,0,0,618.991476836418315,16.2975506382265749,-0.00508855953082321122,-1.3865108676174307,16.3238618965900741,16.3564236642677727,297.896027611239731,0.785547088831663132,37.4277361810297933,-122.357212558939423,15,0,0.515826230697015276,0,-10.3982665104280727,-5.19899999999999984,95
0.4499982,0,0,0,677.533929673379703,16.379504552283553,-0.00504424590094920688,-1.2151135041817458,16.402538536333104,16.424515081144385,297.894949275857243,0.83242841437458992,37.4277372284283203,-122.357215052348423,15,0,0.564611608061149739,0,-10.3982476899252063,-5.19899999999999984,95
0.499998,0,0,0,733.221228418604937,16.473197654126043,-0.00500741129477244584,-1.07511084119693034,16.4934532520193144,16.5082442842033004,297.8938061361103,0.871009081602096558,37.4277382812255652,-122.357217558705628,15,0,0.611017690348837461,0,-10.3982277383728121,-5.19899999999999984,95
0.5499978,0,0,0,786.192620822956883,16.5782518686850402,-0.00497647983564064589,-0.961448373100004083,16.5961703041554145,16.6061085977735097,297.892619133618155,0.902736157178878784,37.4277393401885945,-122.357220079844666,15,0,0.655160517352464056,0,-10.3982070212710944,-5.19899999999999984,95
0.5999976,0,0,0,836.580563432516783,16.6942969914759303,-0.00495003264738969051,-0.869587986661946921,16.7102587051767237,16.7169303345133429,297.891402518475957,0.928819905966520309,37.4277404060572465,-122.357222617532457,15,0,0.697150469527097361,0,-10.3981857873311334,-5.19899999999999984,95
0.6499974,0,0,0,884.511052800127231,16.82095840070631,-0.00492720694415815785,-0.795625284261361809,16.8352879635836814,16.8397650039606113,297.890165419942207,0.950264450162649155,37.4277414795441885,-122.357225173470042,15,0,0.737092544000106042,0,-10.3981641958885476,-5.19899999999999984,95
0.6999972,0,0,0,930.103940543528779,16.9578550719074208,-0.00490761569764242012,-0.736282921211623531,16.9708279611495954,16.9738323682242154,297.888913318391758,0.967898786067962646,37.427742561334739,-122.357227749292775,15,0,0.775086617119607357,0,-10.398142342593923,-5.19899999999999984,95
0.749997,0,0,0,973.473233037903242,17.1046014289047825,-0.00489119755231826048,-0.68885005137277755,17.1164506458352079,17.1184674652487914,297.887649227337135,0.982405241578817368,37.4277436520867468,-122.357230346570532,15,0,0.811227694198252691,0,-10.3981202800429742,-5.19899999999999984,95
0.7999968,0,0,0,1014.72737649221563,17.2608102780860015,-0.00487808719044213746,-0.651104351291988515,17.2717322848694721,17.2730869310637551,297.886374570161706,0.994344394654035568,37.4277447524308045,-122.357232966808283,15,0,0.845606147076846337,0,-10.3984360330784291,-5.19933800000000002,95
